"BP","Code","Duration","Signer","Question","QuestionType","MultiUnit","SpeakerOnLeft","DyadCode","Brows_YN.code","Brows_YN.relStart","Brows_YN.relStop","Brows_YN.dur","Head-mov_YN.code","Head-mov_YN.relStart","Head-mov_YN.relStop","Head-mov_YN.dur","Main-gloss_YN.code","Main-gloss_YN.relStart","Main-gloss_YN.relStop","Main-gloss_YN.dur","Main-gloss_RC.code","Main-gloss_RC.relStart","Main-gloss_RC.relStop","Main-gloss_RC.dur","Brows_RC.code","Brows_RC.relStart","Brows_RC.relStop","Brows_RC.dur","Head-mov_RC.code","Head-mov_RC.relStart","Head-mov_RC.relStop","Head-mov_RC.dur","Non-dom_YN.code","Non-dom_YN.relStart","Non-dom_YN.relStop","Non-dom_YN.dur","Non-dom_RC.code","Non-dom_RC.relStart","Non-dom_RC.relStop","Non-dom_RC.dur","Brows_MG.code","Brows_MG.relStart","Brows_MG.relStop","Brows_MG.dur","Head-mov_MG.code","Head-mov_MG.relStart","Head-mov_MG.relStop","Head-mov_MG.dur","Non-dom_MG.code","Non-dom_MG.relStart","Non-dom_MG.relStop","Non-dom_MG.dur","Brows_MZ.code","Brows_MZ.relStart","Brows_MZ.relStop","Brows_MZ.dur","Head-mov_MZ.code","Head-mov_MZ.relStart","Head-mov_MZ.relStop","Head-mov_MZ.dur","Main-gloss_MG.code","Main-gloss_MG.relStart","Main-gloss_MG.relStop","Main-gloss_MG.dur","Main-gloss_MZ.code","Main-gloss_MZ.relStart","Main-gloss_MZ.relStop","Main-gloss_MZ.dur","Non-dom_MZ.code","Non-dom_MZ.relStart","Non-dom_MZ.relStop","Non-dom_MZ.dur"
1,"52C.mpeg",3120,"MZ",-1,NA,-1,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","hold","3029","3119","90","",0,0,0
1,"53C.mpeg",3560,"MZ",-1,NA,-1,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","blink","3167","3557","390","","0","0","0","PO","3167","3557","390","",0,0,0
1,"54C.mpeg",4800,"MG",1,"polar",-1,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"AU1+2+4","3914","4801","887","NM","4456","4801","345","PO","4466","4801","335","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"55C.mpeg",5480,"MZ",-1,NA,-1,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","blink","5371","5474","103","","0","0","0","hold","5371","5474","103","",0,0,0
1,"56C.mpeg",2000,"MZ",-1,NA,-1,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","AU1+2","0","2012","2012","","0","0","0","","0","0","0","PO","1690","2006","316","JIJ",1199,2006,807
1,"57C.mpeg",1000,"MG",1,"polar",-1,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"AU1+2","0","1020","1020","","0","0","0","","0","0","0","","0","0","0","","0","0","0","JIJ","920","1036","116","","0","0","0","",0,0,0
1,"58C.mpeg",1240,"MG",-1,NA,-1,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","blink","962","1250","288","","0","0","0","","0","0","0","","0","0","0","JA","962","1250","288","","0","0","0","",0,0,0
1,"59C.mpeg",3560,"MZ",1,"polar",1,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","AU4^AU1+2+4^AU5","0^857^3158","73^3158^3498","73^2301^340","HT","13","3353","3340","","0","0","0","JIJ^JIJ^JIJ","0^1513^3246","73^1647^3526","73^134^280","",0,0,0
1,"60C.mpeg",2000,"MZ",-1,NA,-1,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","PO","1831","2021","190","",0,0,0
1,"P1C.mpeg",2720,"MZ",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
