"tier","start","stop","dur","code","dyad"
"Turns",2572712,2575715,3003,"34C","YR"
"Turns",2577155,2581118,3963,"35A","YR"
"Turns",2581118,2585118,4000,"35C","YR"
"Turns",2586018,2590718,4700,"36A","YR"
"Turns",2590718,2591803,1085,"36C","YR"
"Turns",2591879,2595359,3480,"37A","YR"
"Turns",2595359,2596978,1619,"37C","YR"
"Turns",2663251,2666748,3497,"38A","YR"
"Turns",2666748,2669443,2695,"38C","YR"
"Turns",2684969,2689609,4640,"39A","YR"
"Turns",2689609,2691085,1476,"39C","YR"
"Turns",2715751,2719953,4202,"40A","YR"
"Turns",2719953,2721664,1711,"40C","YR"
"Turns",2726851,2729680,2829,"41A","YR"
"Turns",2729680,2731615,1935,"41C","YR"
"Turns",2933529,2936742,3213,"42A","YR"
"Turns",2936742,2940012,3270,"42C","YR"
"Turns",2963020,2966266,3246,"43A","YR"
"Turns",2966266,2969547,3281,"43C","YR"
"Turns",3325751,3334141,8390,"P5A","YR"
"Turns",3334141,3336161,2020,"P5C","YR"
"Turns",3454066,3463502,9436,"P6A","YR"
"Turns",3463502,3465352,1850,"P6C","YR"
"Turns",3513916,3517289,3373,"44A","YR"
"Turns",3517289,3518916,1627,"44C","YR"
"Turns",3519006,3520452,1446,"P7A","YR"
"Turns",3520452,3523684,3232,"P7C","YR"
"Turns",3544181,3549307,5126,"45A","YR"
"Turns",3549307,3550787,1480,"45C","YR"
"Turns",3657841,3663342,5501,"46A","YR"
"Turns",3663342,3665761,2419,"46C","YR"
"Turns",3692545,3696114,3569,"47A","YR"
"Turns",3696114,3698248,2134,"47C","YR"
"Turns",3700430,3706886,6456,"48A","YR"
"Turns",3706886,3711934,5048,"48C","YR"
"Turns",3770690,3779924,9234,"P8A","YR"
"Turns",3779924,3786950,7026,"P8C","YR"
"Turns",3801624,3806919,5295,"49A","YR"
"Turns",3806919,3808517,1598,"49C","YR"
"Turns",3812346,3819559,7213,"P9A","YR"
"Turns",3819559,3821346,1787,"P9C","YR"
"Turns",3821528,3824411,2883,"50A","YR"
"Turns",3824411,3827658,3247,"50C","YR"
"Turns",3828048,3831973,3925,"51A","YR"
"Turns",3831973,3833594,1621,"51C","YR"
"Turns",3854475,3858794,4319,"52A","YR"
"Turns",3858794,3861767,2973,"52C","YR"
"Turns",3934530,3939945,5415,"53A","YR"
"Turns",3939945,3940983,1038,"53C","YR"
"Turns",4036494,4043828,7334,"P10A","YR"
"Turns",4043828,4045477,1649,"P10C","YR"
"Turns",4078082,4085502,7420,"54A","YR"
"Turns",4085502,4088880,3378,"54C","YR"
"Turns",4108774,4111034,2260,"P11A","YR"
"Turns",4111034,4116411,5377,"P11C","YR"
"Turns",4117898,4121586,3688,"P12A","YR"
"Turns",4121586,4128499,6913,"P12C","YR"
"Turns",4252723,4256917,4194,"55A","YR"
"Turns",4256917,4258723,1806,"55C","YR"
"Turns",4289573,4291291,1718,"56A","YR"
"Turns",4291291,4292838,1547,"56C","YR"
"Potential turn ends",94670,95400,730,"","YR"
"Potential turn ends",95400,96796,1396,"","YR"
"Potential turn ends",259250,261457,2207,"","YR"
"Potential turn ends",261457,261911,454,"","YR"
"Potential turn ends",1674689,1675249,560,"","YR"
"Potential turn ends",1675249,1675649,400,"","YR"
"Potential turn ends",1675649,1676369,720,"","YR"
"Potential turn ends",1676369,1676849,480,"","YR"
"Potential turn ends",1676849,1677569,720,"","YR"
"Potential turn ends",1677569,1679041,1472,"","YR"
"Potential turn ends",2004841,2006320,1479,"","YR"
"Potential turn ends",2006320,2006860,540,"","YR"
"Potential turn ends",2006860,2007481,621,"","YR"
"Potential turn ends",2290716,2292623,1907,"","YR"
"Potential turn ends",2292623,2292983,360,"","YR"
"Potential turn ends",2357994,2358714,720,"","YR"
"Potential turn ends",2358714,2359634,920,"","YR"
"Potential turn ends",2359634,2360490,856,"","YR"
"Potential turn ends",2450320,2451680,1360,"","YR"
"Potential turn ends",2451680,2453314,1634,"","YR"
"Potential turn ends",2572712,2574960,2248,"","YR"
"Potential turn ends",2574960,2575715,755,"","YR"
"Potential turn ends",2581118,2584371,3253,"","YR"
"Potential turn ends",2584371,2585118,747,"","YR"
"Potential turn ends",2666748,2668391,1643,"","YR"
"Potential turn ends",2668391,2669443,1052,"","YR"
"Potential turn ends",2936742,2937160,418,"","YR"
"Potential turn ends",2937160,2938360,1200,"","YR"
"Potential turn ends",2938360,2939080,720,"","YR"
"Potential turn ends",2939080,2940012,932,"","YR"
"Potential turn ends",3663342,3663640,298,"","YR"
"Potential turn ends",3663640,3665761,2121,"","YR"
"Potential turn ends",3696114,3696520,406,"","YR"
"Potential turn ends",3696520,3697312,792,"","YR"
"Potential turn ends",3697312,3698248,936,"","YR"
"Potential turn ends",3824411,3825920,1509,"","YR"
"Potential turn ends",3825920,3827658,1738,"","YR"
